kernelName,powerConsumptionJoules,predictedPowerConsumptionJoules
setp.le.s32,243.38575353749997,231.52490782906796
add.u16,270.28737199600005,344.3903836357453
setp.eq.s64,491.5395850399999,523.5132920846729
setp.eq.s16,280.0050664275001,314.2257823439133
st.s64,746.4111083955,755.6279549942166
ld.u32,372.74960021600003,359.5848225324259
ex2.approx.ftz.f32,257.49097566150004,295.4972863956083
div.s64,4960.804563244499,5559.986036577593
sub.f64,523.2539822655,712.5652790986037
ld.u16,367.75678927549995,409.80821321356586
div.rn.f64,9435.8031845025,9682.479818117488
setp.le.s16,291.49424668800003,310.0979558464132
setp.ne.u64,511.506850872,515.8357728291729
cvta.shared.u64,492.36950742199997,520.8543232918091
setp.eq.u64,503.75880074899993,512.710294418173
mov.b64,356.71410004750004,451.990341556229
shl.b16,286.532490239,346.55678332904006
div.rn.f32,1843.402212868,1843.729587058388
shl.b64,438.1635295965,562.8378101238449
setp.lt.f32,248.90136046750007,228.85734390118864
st.u64,735.4214240025,777.4632688797169
setp.ge.s16,287.0997141434999,315.43391233941344
mov.f32,257.23453823250003,197.61351569947516
rem.u32,941.7509487719999,968.5222056258098
setp.gt.f64,465.749403875,532.0187209021952
mov.s16,267.13077787399993,332.13353574376157
rem.s64,4877.933459330499,5014.450187430594
setp.lt.f64,465.9741025700001,515.6918351346948
setp.lt.s64,490.1149685095,518.588031059173
st.f64,751.1675330465,778.6153917059937
mov.s64,356.76683873150006,459.0038138122289
setp.le.s64,496.60031572899993,531.7350784356729
setp.lt.s16,284.51151700999986,317.06009071041353
fma.rn.f64,501.8660028315001,685.0447453513896
setp.gt.u64,510.0052099379999,521.620675259173
mov.u64,351.8323499269998,310.85602886851296
cvta.local.u64,512.9632907870001,539.6865512523086
mov.u32,241.59872851150007,172.35304787827215
neg.s16,297.742739002,391.16828530926125
sub.f32,262.6525319354999,290.9066293980078
setp.ge.s32,242.32129719799997,237.42734440506814
st.u8,336.09505704750006,315.47281101141755
setp.lt.u16,288.0305978920001,301.9277991824133
mov.b32,236.05632924300008,270.5209502993569
fma.rm.f32,251.83797679499995,297.40487107828744
div.u32,988.858215777,1031.3552450283094
setp.gt.s64,497.05265934749997,515.718458998673
fma.rn.f32,259.6717857435001,294.96048750078745
bra.s32,267.41520904699996,271.23442907465034
cvt.sat.f32.f32,259.0329002969999,266.5284921828085
mul.hi.s32,253.85002635999993,278.96432651322266
ld.u8,391.77483259050007,382.68810149876305
setp.ne.s64,484.81091964399985,531.630424932673
sub.s64,516.1304310009999,590.218327796093
cvt.widen.u32,620.5168700364999,553.9168050433232
st.f32,435.49961596250006,243.54696245999347
setp.le.f32,246.65831307100007,234.30364577418862
ld.s64,492.5239703135001,554.5971593687221
cvta.const.u64,433.35353579,463.54279271730906
setp.ne.s32,242.29978815250004,237.69143053206804
mul.f32,260.583725006,288.84353004300766
setp.le.f64,454.94780084300004,543.6233409826949
div.s16,1593.9762213680006,1660.5371223767443
setp.gt.u32,248.6720450460001,233.8451296130679
rem.u64,4397.259668893501,4614.246705204093
setp.ge.s64,486.83284943949997,530.331411980173
mul.hi.u64,813.5266880359999,970.1217250790927
st.s32,423.53658638050007,276.0667437455805
mul.lo.s32,286.74424655150017,301.14730649231774
ld.f32,364.1421002154999,380.0298478922774
neg.f32,270.89286047699994,294.4768003336084
setp.gt.u16,281.6715189384999,311.5078475544136
add.f64,525.7327384195,733.9444022916035
setp.lt.u32,244.23727647199996,234.33692424656817
setp.eq.s32,245.60247882050007,234.27826782256807
setp.eq.f32,249.05985974699993,227.84101600968881
sub.u64,516.8744491015,594.5302434095929
sub.u32,272.8815515945,287.1751064263094
mul.lo.u32,277.4351433940001,311.0849486182225
rem.u16,1317.3322393945,1362.9947040302459
setp.gt.s16,294.1037706000001,303.9036809704133
setp.le.u32,250.25264412800001,241.14120486006814
rem.s32,1139.5321673265,1161.6822665723093
add.s64,465.87454415750005,572.0095750693421
setp.ne.f64,463.41718266349994,539.7016148501948
st.u32,431.4767410895,251.7090160445805
setp.ge.u32,253.97702022249987,232.59423532106817
ld.s32,377.72592192049996,356.7988808244259
setp.eq.f64,465.0508569175,532.5470891576949
setp.gt.s32,250.60883059350016,230.4403792665679
setp.ge.u16,280.8940716045,313.7751412704133
mov.u16,278.90395385549994,223.61308231257752
rem.s16,1537.3558974759999,1558.9562493042458
setp.eq.u16,285.6957617269999,305.9216046344135
sub.s16,318.99789297099994,392.4309743382455
not.pred.s32,250.71361850550002,237.69142289228932
neg.s32,268.56198954,296.6833144894438
add.s32,249.24793876649997,208.13682821386925
setp.ne.u32,256.39803381550007,238.02199014206792
setp.gt.f32,243.586683957,233.4072411171888
