kernelName,powerConsumptionJoules,predictedPowerConsumptionJoules
div.u16,1337.4319023895,1308.5415
div.u16,2549.847091175,2512.3591
div.u32,988.858215777,980.53357
div.u32,1875.174241092,1852.4146
div.u64,4599.2324274415005,4571.2896
div.u64,9149.9045412305,9090.567
ex2.approx.ftz.f32,257.49097566150004,249.20253
ex2.approx.ftz.f32,391.1087400495001,368.81027
fma.rm.f32,251.83797679499995,249.78488
fma.rm.f32,387.363315564,381.32953
fma.rm.f64,495.4108642330001,476.42493
fma.rm.f64,939.7814636405002,905.5959
fma.rn.f32,259.6717857435001,263.86624
fma.rn.f32,392.75274093500013,416.42148
fma.rn.f64,501.8660028315001,488.5988
fma.rn.f64,946.5310536884999,917.562
ld.f32,364.1421002154999,354.634
ld.f32,618.026368919,598.1035
ld.f64,450.9725693184999,442.28235
ld.f64,773.9248370980001,761.4146
ld.s16,371.0704020774999,362.8295
ld.s16,629.1512948690003,618.0503
ld.s32,377.72592192049996,366.82443
ld.s32,616.7993791764999,599.31213
ld.s64,492.5239703135001,484.40067
ld.s64,883.2280197234999,862.3067
ld.s8,391.49154709849995,379.46414
ld.s8,663.219821753,643.4503
ld.u16,367.75678927549995,356.23428
ld.u16,642.7528941424999,627.0848
ld.u32,372.74960021600003,366.4329
ld.u32,614.60899918,603.70917
ld.u64,517.5424818720002,509.06454
ld.u64,897.7232668924999,886.0248
ld.u8,391.77483259050007,382.78766
ld.u8,656.737526794,644.48004
mov.pred.s32,270.3357013685,261.42172
mov.pred.s32,418.4563641124999,407.0961
mov.b16,266.35069317450007,262.56784
mov.b16,415.4898595155,410.99548
mov.b32,236.05632924300008,215.60774
mov.b32,361.538080017,324.94858
mov.b64,356.71410004750004,348.7193
mov.b64,571.329895895,557.4459
mov.f32,257.23453823250003,257.4801
mov.f32,364.4365228815,382.39084
mov.f64,363.97034962399994,350.96332
mov.f64,588.9225236829998,558.7936
mov.s16,267.13077787399993,250.86113
mov.s16,420.0517467765001,393.02383
mov.s32,248.45247643699997,231.30473
mov.s32,360.49305608700007,338.55002
mov.s64,356.76683873150006,338.98676
mov.s64,578.396106835,561.6578
mov.u16,278.90395385549994,263.38153
mov.u16,412.10550470949994,397.80728
mov.u32,241.59872851150007,233.75162
mov.u32,350.85408265599995,333.98007
mov.u64,351.8323499269998,343.3758
mov.u64,572.2768067545001,546.24774
mul.hi.s32,253.85002635999993,242.71318
mul.hi.s32,387.77513943400004,368.89893
mul.hi.s64,1002.246272015,990.6905
mul.hi.s64,1908.221998177,1901.295
mul.hi.u32,259.5663985159999,253.79022
mul.hi.u32,378.1781630385,372.71805
mul.hi.u64,813.5266880359999,799.88745
mul.hi.u64,1546.2738530014997,1525.6251
mul.lo.s32,286.74424655150017,264.84338
mul.lo.s32,442.85234741000005,419.52768
mul.lo.u32,277.4351433940001,269.36923
mul.lo.u32,443.480878573,422.85312
mul.f32,260.583725006,257.7261
mul.f32,387.54772946800006,400.87524
mul.f64,530.9293796630001,509.56357
mul.f64,977.8260312924999,957.38275
neg.f32,270.89286047699994,267.96228
neg.f32,403.4901388030001,401.64243
neg.f64,509.5684120025,492.54446
neg.f64,988.0405759534999,957.9452
neg.s16,297.742739002,292.94208
neg.s16,509.69845746999994,509.36078
neg.s32,268.56198954,261.9427
neg.s32,420.20609822999995,413.5242
neg.s64,476.03874975299993,465.9347
neg.s64,843.6391682599999,836.3171
not.pred.s32,250.71361850550002,247.77032
not.pred.s32,391.8359162670001,395.34918
rem.s16,1537.3558974759999,1510.8143
rem.s16,2917.0995702620003,2877.3162
rem.s32,1139.5321673265,1130.3403
rem.s32,2156.1752141855,2151.055
rem.s64,4877.933459330499,4873.6914
rem.s64,9655.0090866475,9646.07
rem.u16,1317.3322393945,1297.4236
rem.u16,2501.1143669065004,2498.4302
rem.u32,941.7509487719999,920.985
rem.u32,1765.2339346845001,1728.9841
rem.u64,4397.259668893501,4366.6665
rem.u64,8774.131813984,8737.913
setp.eq.f32,249.05985974699993,240.92543
setp.eq.f32,359.1754959145,350.45248
setp.eq.f64,465.0508569175,462.9937
setp.eq.f64,879.872562308,888.79675
setp.eq.s16,280.0050664275001,263.2915
setp.eq.s16,459.4187780475,439.78085
setp.eq.s32,245.60247882050007,247.46133
setp.eq.s32,362.15536273450005,368.8944
setp.eq.s64,491.5395850399999,487.7092
setp.eq.s64,851.1597857659999,853.0867
setp.eq.u16,285.6957617269999,268.559
setp.eq.u16,456.80529563749997,440.73083
setp.eq.u32,255.42501505099992,236.35245
setp.eq.u32,358.65780541050003,333.82553
setp.eq.u64,503.75880074899993,492.25525
setp.eq.u64,852.5760038085,846.54205
setp.ge.f32,251.20979522649995,247.24965
setp.ge.f32,372.0140809885,361.89368
setp.ge.f64,460.047964758,452.0467
setp.ge.f64,882.1146671790001,869.75256
setp.ge.s16,287.0997141434999,276.716
setp.ge.s16,467.72155575899995,461.78784
setp.ge.s32,242.32129719799997,236.78235
setp.ge.s32,362.02325769450005,359.4589
setp.ge.s64,486.83284943949997,475.3053
setp.ge.s64,853.271170061,827.70154
setp.ge.u16,280.8940716045,267.80945
setp.ge.u16,459.85714215099995,448.36377
